Pet_Food	Monster's_Feed
Hylozoist_Card	Poring_Card
High_Orc_Card	Poring_Card
Hati_Baby_Card	Poring_Card
Hati_Card	Poring_Card
Harpy_Card	Poring_Card
Sea_Otter_Card	Poring_Card
Bloody_Butterfly_Card	Poring_Card
Yao_Jun_Card	Poring_Card
Phendark_Card	Poring_Card
Evil_Snake_Lord_Card	Poring_Card
Heater_Card	Poring_Card
Waste_Stove_Card	Poring_Card
Venomous_Card	Poring_Card
Noxious_Card	Poring_Card
Pitman_Card	Poring_Card
Ungoliant_Card	Poring_Card
Porcellio_Card	Poring_Card
Obsidian_Card	Poring_Card
Mineral_Card	Poring_Card
Teddy_Bear_Card	Poring_Card
Metaling_Card	Poring_Card
RSX-0806_Card	Poring_Card
Holden_Card	Poring_Card
Anopheles_Card	Poring_Card
Hill_Wind_Card	Poring_Card
Egnigem_Cenia_Card	Poring_Card
Armeyer_Dinze_Card	Poring_Card
Wickebine_Tres_Card	Poring_Card
Errende_Ebecee_Card	Poring_Card
Laurell_Weinder_Card	Poring_Card
Kavach_Icarus_Card	Poring_Card
Swordman_Card	Poring_Card
Remover_Card	Poring_Card
Gemini-S58_Card	Poring_Card
Gremlin_Card	Poring_Card
Beholder_Card	Poring_Card
Lord_Knight_Card	Poring_Card
Seyren_Windsor_Card	Poring_Card
Assassin_Cross_Card	Poring_Card
Eremes_Guile_Card	Poring_Card
Mastersmith_Card	Poring_Card
Howard_Alt-Eisen_Card	Poring_Card
High_Priest_Card	Poring_Card
Margaretha_Sorin_Card	Poring_Card
High_Wizard_Card	Poring_Card
Kathryne_Keyron_Card	Poring_Card
Sniper_Card	Poring_Card
Cecil_Damon_Card	Poring_Card
Venatu_Card	Poring_Card
Dimik_Card	Poring_Card
Archdam_Card	Poring_Card
White_Lady_Card	Poring_Card
Green_Maiden_Card	Poring_Card
Vesper_Card	Poring_Card
Orc_Baby_Card	Poring_Card
Lady_Tanee_Card	Poring_Card
Grove_Card	Poring_Card
Gold_Acidus_Card	Poring_Card
Blue_Acidus_Card	Poring_Card
Red_Ferus_Card	Poring_Card
Green_Ferus_Card	Poring_Card
Yellow_Novus_Card	Poring_Card
Red_Novus_Card	Poring_Card
Hydrolancer_Card	Poring_Card
Dragon_Egg_Card	Poring_Card
Detale_Card	Poring_Card
Ancient_Mimic_Card	Poring_Card
Death_Word_Card	Poring_Card
Plasma_Card	Poring_Card
Breeze_Card	Poring_Card
Baroness_of_Retribution_Card	Poring_Card
Dame_of_Sentinel_Card	Poring_Card
Mistress_of_Shelter_Card	Poring_Card
Lady_Solace_Card	Poring_Card
Thanatos_Maero_Card	Poring_Card
Thanatos_Odium_Card	Poring_Card
Thanatos_Despero_Card	Poring_Card
Thanatos_Dolor_Card	Poring_Card
Thanatos_Phantom_Card	Poring_Card
Aliza_Card	Poring_Card
Alicel_Card	Poring_Card
Aliot_Card	Poring_Card
Kiel_D-01_Card	Poring_Card
Skogul_Card	Poring_Card
Frus_Card	Poring_Card
Skeggiold_Card	Poring_Card
Valkyrie_Randgris_Card	Poring_Card
Gloom_Under_Night_Card	Poring_Card
Agav_Card	Poring_Card
Echio_Card	Poring_Card
Vanberk_Card	Poring_Card
Isilla_Card	Poring_Card
Hodremlin_Card	Poring_Card
Seeker_Card	Poring_Card
Snowier_Card	Poring_Card
Siroma_Card	Poring_Card
Ice_Titan_Card	Poring_Card
Gazeti_Card	Poring_Card
Ktullanux_Card	Poring_Card
Muscipular_Card	Poring_Card
Drosera_Card	Poring_Card
Roween_Card	Poring_Card
Galion_Card	Poring_Card
Stapo_Card	Poring_Card
Atroce_Card	Poring_Card
Byorgue_Card	Poring_Card
Sword_Guardian_Card	Poring_Card
Bow_Guardian_Card	Poring_Card
Salamander_Card	Poring_Card
Ifrit_Card	Poring_Card
Kasa_Card	Poring_Card
Magmaring_Card	Poring_Card
Imp_Card	Poring_Card
Knocker_Card	Poring_Card
Zombie_Slaughterer_Card	Poring_Card
Ragged_Zombie_Card	Poring_Card
Hell_Poodle_Card	Poring_Card
Banshee_Card	Poring_Card
Flame_Skull_Card	Poring_Card
Necromancer_Card	Poring_Card
Fallen_Bishop_Card	Poring_Card
Flash_Arrow	Stun_Arrow
Oridecon_Arrow	Steel_Arrow
Iron_Arrow	Arrow
Holy_Arrow	Steel_Arrow
